nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
RS Umum Pertamina Rantau;Rumah Sakit Umum;Aceh;Aceh Tamiang;Jl. Cepu No 1 Komplek Pertamina Rantau Aceh Tamiang;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Pertamina+Rantau+Aceh+Tamiang;;;
RS Umum Daerah dr. Muchtar Hasbi;Rumah Sakit Umum;Aceh;Aceh Utara;Jl. Medan Banda Aceh Alue Mudem Landing Lhoksukon;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+dr.+Muchtar+Hasbi+Aceh+Utara;;;
RS Umum Malahayati;Rumah Sakit Umum;Aceh;Bireuen;Jl. Medan-Banda Aceh No. 100 M, Meunasah Blang, Bireuen;TRUE;http://maps.google.co.id/?q=5.2032386,96.683872;;;
RS Umum Teungku Fakinah;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Jend. Sudirman 27-29 Banda Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Teungku+Fakinah+Kota+Banda+Aceh;;;
RS Umum Daerah dr. Zubir Mahmud;Rumah Sakit Umum;Aceh;Aceh Timur;Jl. Banda Aceh-Medan Km. 372 Desa Seuneubok Barat Kecamatan Idi Timur;TRUE;http://maps.google.co.id/?q=4.961196,97.76267;;;
RS Umum Daerah Sultan Iskandar Muda Nagan Raya;Rumah Sakit Umum;Aceh;Nagan Raya;Jl. Nasional Meulaboh-Tapak Tuan KM. 28,5 Ujung Patihah Kabupaten Nagan Raya;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Sultan+Iskandar+Muda+Nagan+Raya+Nagan+Raya;;;
RS Umum Avicenna;Rumah Sakit Umum;Aceh;Bireuen;Jln. Laksamana Malahayati/Kuala Raja No.1 Lhok Awe Teungoh, Kecamatan Kota Juang, Kabupaten Bireuen, Provinsi Aceh, 24252;TRUE;http://maps.google.co.id/?q=2.5053415,99.6326695;;;
RS Zahra;Rumah Sakit Umum;Aceh;Aceh Utara;Jl. Medan-Banda Aceh, KM 303, Meunasah Reudeup, Kec Lhoksukon;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Zahra+Aceh+Utara;;;
RS Cahaya Sehat;Rumah Sakit Umum;Aceh;Aceh Selatan;Jl. Panglima Raja Lelo, No. 10, Gampong Hilir, Kec. Tapaktuan;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Cahaya+Sehat+Aceh+Selatan;;;
RS Umum Daerah Sultan Abdul Aziz Syah Peureulak;Rumah Sakit Umum;Aceh;Aceh Timur;Jl. Monisa No.1 Desa Lhok Dalam Kecamatan Peureulak Kabupaten Aceh Timur Provinsi Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Sultan+Abdul+Aziz+Syah+Peureulak+Aceh+Timur;;;
RS Umum Kasih Ibu Lhokseumawe;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Merdeka No. 17 Dusun III, Kel. Kuta Blang, Kec. Banda Sakti;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Kasih+Ibu+Lhokseumawe+Kota+Lhokseumawe;;;
RS Umum Cempaka Lima;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Politeknik No 23 Dusun Meunasah Dayah, Lr B, Gp.Beurawe, Kecamatan Kuta Alam, Banda Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Cempaka+Lima+Kota+Banda+Aceh;;;
RS Ibu dan Anak Pemerintah Aceh;Rumah Sakit Khusus Ibu dan Anak;Aceh;Kota Banda Aceh;Jl. Prof. A. Madjid Ibrahim I No. 3 Punge Jurong Kec. Meuraxa;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Ibu+dan+Anak+Pemerintah+Aceh+Kota+Banda+Aceh;;;
