nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
Klinik MH Thamrin Kalideres;Klinik Pratama;Dki Jakarta;Kota Jakarta Barat;Ruko Kalideres Indah I Bl A/2;TRUE;http://maps.google.co.id/?q=-6.155302,106.70316;;;
Klinik MH Thamrin III (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Barat;Tubagus Angke Blok D9B No.2-3;TRUE;http://maps.google.co.id/?q=-6.144449,106.779615;;;
Klinik PBDU MHTCengkareng(JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Barat;Kalideres Km 17 No. 69;TRUE;http://maps.google.co.id/?q=-6.157845,106.700756;;;
Klinik Yadika Tegal Alur (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Barat;Kamal Raya Blok H/7-11;TRUE;http://maps.google.co.id/?q=-6.124375,106.722756;;;
Klinik Yasa Husada (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Barat;Pulo Indah Raya No. 1;TRUE;http://maps.google.co.id/?q=-6.183405,106.718112;;;
Kimia Farma 254 Pos Pengumben;Klinik Pratama;Dki Jakarta;Kota Jakarta Barat;Jl. Pos Pengumben Blok I/ 11;TRUE;http://maps.google.co.id/?q=-6.216143,106.77632;;;
Apotek Graha Citra Husada;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Lingkungan Iii No.1D;TRUE;http://maps.google.co.id/?q=-6.112074,106.719972;;;
IF RSU Siloam Kebon Jeruk;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Raya Perjuangan Kav 8;TRUE;http://maps.google.co.id/?q=-6.192928,106.762948;;;
Apotik KIMIA FARMA 342;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Tj Duren Raya No. 7 H;TRUE;http://maps.google.co.id/?q=-6.163375,106.724028;;;
Apotik KIMIA FARMA 254;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Pos Pengumben Raya I/Ii;TRUE;http://maps.google.co.id/?q=-6.216143,106.776632;;;
Apotik IF RS SUMBER WARAS;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl Kyai Tapa Grogol;TRUE;http://maps.google.co.id/?q=-6.167752,106.798291;;;
Inst. Farmasi Rs Patria Ikkt;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Cendrawasih No. 1;TRUE;-;;;
KF Mutiara Taman Palem;Apotek;Dki Jakarta;Kota Jakarta Barat;Komp Ruko Mutiara Taman Palem;TRUE;http://maps.google.co.id/?q=-6.137043,106.732543;;;
Kimia Farma Utama Raya;Apotek;Dki Jakarta;Kota Jakarta Barat;Utama RAYA NO 44;TRUE;http://maps.google.co.id/?q=-6.143416,106.728607;;;
Inst Farmasi Rs Hermina;Apotek;Dki Jakarta;Kota Jakarta Barat;Jalan Kintamani Raya No.2, 118;TRUE;http://maps.google.co.id/?q=-6.152937,106.71229;;;
IF RSUD Kembangan;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl Topaz F2 No 3;TRUE;-;;;
IF RSUD Kalideres;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl Satu Maret No 48;TRUE;-;;;
Inst Farmasi RSUK Taman Sari;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl Madu No 10 Taman Sari;TRUE;-;;;
If Rs Medika Permata Hijau;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Kebayoran Lama No.64;TRUE;-;;;
Apotek Telemedika Farma 8;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. S. Parman Kav. 8 Grogol;TRUE;-;;;
If Rs Ciputra Citragarden City;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl Boulevard Blok G 01 Citra;TRUE;-;;;
If Rs Mitra Keluarga Kalideres;Apotek;Dki Jakarta;Kota Jakarta Barat;Peta Selatan No. 1;TRUE;-;;;
Kimia Farma Slipi;Apotek;Dki Jakarta;Kota Jakarta Barat;JL. LETJEN. S. PARMAN Kav G 12;TRUE;http://maps.google.co.id/?q=-6.194373,106.728324;;;
Idaman;Apotek;Dki Jakarta;Kota Jakarta Barat;JL. Tomang utara I no 68;TRUE;http://maps.google.co.id/?q=-6.174322,106.795541;;;
Kimia Farma 282 Ks Tubun;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Aipda K.S. Tubun 92-94;TRUE;http://maps.google.co.id/?q=-6.192178,106.805491;;;
If Rsjpd Harapan Kita;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl.Let.Jen.S.Parman 87 Slipi;TRUE;-;;;
If Rs Jiwa Soeharto Heerdjan;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl. Latumenten No.1;TRUE;http://maps.google.co.id/?q=-6.163036,106.789014;;;
If Rs Pelni;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl.Aipda K.S.Tubun No.92-94;TRUE;http://maps.google.co.id/?q=-6.193268,106.804418;;;
If Rsab Harapan Kita;Apotek;Dki Jakarta;Kota Jakarta Barat;JL.LETJEN.S.PARMAN Kav 84-86;TRUE;-;;;
If Rs Bhakti Mulia;Apotek;Dki Jakarta;Kota Jakarta Barat;JL. AIPDA KS.TUBUN no 79;TRUE;-;;;
If Rs Kanker Dharmais;Apotek;Dki Jakarta;Kota Jakarta Barat;Letjen S Parman Kav.84-86;TRUE;http://maps.google.co.id/?q=-6.535489,106.788884;;;
Inst Farmasi Rsud Cengkareng;Apotek;Dki Jakarta;Kota Jakarta Barat;Jl Kamal Raya Bumi Cengkareng;TRUE;http://maps.google.co.id/?q=-6.122217,106.721624;;;
Kel. Pegangsaan Dua B;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl Gandang;TRUE;http://maps.google.co.id/?q=-6.172339,106.916466;;;
Rusun Marunda;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Marunda Cluster B Blok 8;TRUE;http://maps.google.co.id/?q=-6.097734,106.963019;;;
Rawa Badak Selatan;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl Alur Laut;TRUE;http://maps.google.co.id/?q=-6.12726,106.898264;;;
Semper Timur;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Masjid No 9 Kp Rawamalang;TRUE;http://maps.google.co.id/?q=-6.127271,106.898189;;;
Kelapa Gading Barat;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Inspeksi Kali Sunter;TRUE;http://maps.google.co.id/?q=-6.160037,106.883646;;;
Kel. Tugu Utara Iii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Kramat Jaya Gang 8 Blok R;TRUE;http://maps.google.co.id/?q=-6.122249,106.912944;;;
Kec. Penjaringan;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Teluk Gong Raya No. 2;TRUE;http://maps.google.co.id/?q=-6.138432,106.778989;;;
Kel. Kamal Muara;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Kamal Muara Raya;TRUE;http://maps.google.co.id/?q=-6.118709,106.728783;;;
Kel. Kapuk Muara;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Smp 122 No.2;TRUE;http://maps.google.co.id/?q=-6.105498,106.718126;;;
Kel. Pejagalan;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Kura No. 02;TRUE;http://maps.google.co.id/?q=-6.138248,106.77767;;;
Kel. Penjaringan I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Pluit Raya Selatan No. 2;TRUE;http://maps.google.co.id/?q=-6.125438,106.790239;;;
Kel. Penjaringan Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Rawa Bebek Pasar Royal;TRUE;http://maps.google.co.id/?q=-6.131801,106.800816;;;
Kel. Pluit;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Muara Angke;TRUE;http://maps.google.co.id/?q=-6.110027,106.774207;;;
Kec. Pademangan;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Pademangan 2 Gg. 22 No. 2;TRUE;http://maps.google.co.id/?q=-6.132929,106.83654;;;
Kel. Ancol;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Ancol Barat Iii;TRUE;http://maps.google.co.id/?q=-6.116118,106.820173;;;
Kel. Pademangan Barat I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Ampera Besar;TRUE;http://maps.google.co.id/?q=-6.13719,106.834991;;;
Kel. Pademangan Barat Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Waspada Raya Gg.B2;TRUE;http://maps.google.co.id/?q=-6.136687,106.838462;;;
Kec. Tanjung Priok;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl Papanggo Iib No 69;TRUE;http://maps.google.co.id/?q=-6.115875,106.889243;;;
Kel. Sunter Jaya I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Sunter Jaya Iv A;TRUE;http://maps.google.co.id/?q=-6.156002,106.86587;;;
Kel. Sunter Jaya Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Komp.Kebersihan Dki Sunter;TRUE;http://maps.google.co.id/?q=-6.153088,106.871771;;;
Kel. Sungai Bambu;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Sungai Bambu Iv No.24;TRUE;http://maps.google.co.id/?q=-6.128399,106.885959;;;
Kel. Kebon Bawang I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Swasembada Brt Vii/2;TRUE;http://maps.google.co.id/?q=-6.123972,106.887099;;;
Kel. Kebon Bawang Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Swasembada Tmr Vi/1;TRUE;http://maps.google.co.id/?q=-6.124527,106.891262;;;
Kel. Kebon Bawang Iii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Swasembada Barat Ii/83;TRUE;http://maps.google.co.id/?q=-6.125978,106.888945;;;
Kel. Tanjung Priok;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Bahari Iii/65;TRUE;http://maps.google.co.id/?q=-6.121484,106.868243;;;
Kel. Sunter Agung I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Bambu Kuning I Gg.Ii;TRUE;http://maps.google.co.id/?q=-6.133136,106.857938;;;
Kel. Sunter Agung Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Agung Barat No.25 Blk.B;TRUE;http://maps.google.co.id/?q=-6.14248,106.86164;;;
Kel. Sunter Agung Iii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Komp.Bi Taman Nyiur Blok P;TRUE;http://maps.google.co.id/?q=-6.133322,106.870214;;;
Kel. Warakas;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Warakas Ix/13;TRUE;http://maps.google.co.id/?q=-6.11604,106.880148;;;
Kel. Papanggo Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl Bisma Raya Kompkel.Papanggo;TRUE;http://maps.google.co.id/?q=-6.130084,106.872412;;;
Kec. Koja;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Mahoni No. 9;TRUE;http://maps.google.co.id/?q=-6.126862,106.907319;;;
Kel. Koja;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Deli Lorong 28 No.2;TRUE;http://maps.google.co.id/?q=-6.111297,106.899151;;;
Kel. Lagoa;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Menteng Terusan No 1;TRUE;http://maps.google.co.id/?q=-6.113036,106.911227;;;
Kel. Tugu Selatan;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Bend. Melayu Selatan No.1,;TRUE;http://maps.google.co.id/?q=-6.133661,106.913629;;;
Kel. Rawa Badak I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Rawa Badak Barat No.38;TRUE;http://maps.google.co.id/?q=-6.119097,106.899397;;;
Kel. Rawa Badak Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Rawabinangun V 37;TRUE;http://maps.google.co.id/?q=-6.117646,106.898683;;;
Kec. Kelapa Gading;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Pelepah Elok Blok Hf No7 Ga;TRUE;http://maps.google.co.id/?q=-6.146123,106.899762;;;
Kel. Klp Gading Timur I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Komp.Perdagangan Klp.Gading;TRUE;http://maps.google.co.id/?q=-6.176731,106.907108;;;
Kel. Klp Gading Timur Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Merah Jambu Blok Ej/22;TRUE;http://maps.google.co.id/?q=-6.167969,106.907918;;;
Kel. Pegangsaan Dua;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Kesadaran;TRUE;http://maps.google.co.id/?q=-6.181452,106.913969;;;
Kec. Cilincing;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jln Sungai Landak No 26;TRUE;http://maps.google.co.id/?q=-6.116441,106.927411;;;
Kel. Kali Baru;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Kalibaru Timur I No.50;TRUE;http://maps.google.co.id/?q=-6.102837,106.928788;;;
Kel. Cilincing I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Pasar Pagi No.11A Cilincing;TRUE;http://maps.google.co.id/?q=-6.103212,106.935911;;;
Kel. Semper Barat I;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Duren No.49 Semper Barat;TRUE;http://maps.google.co.id/?q=-6.116235,106.918656;;;
Kel. Semper Barat Ii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Tipar Cakung No.18;TRUE;http://maps.google.co.id/?q=-6.134924,106.921595;;;
Kel. Semper Barat Iii;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Pepaya V/18 Semper Barat;TRUE;http://maps.google.co.id/?q=-6.110409,106.917865;;;
Kel. Marunda;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl.Marunda Baru Kav.09/02;TRUE;http://maps.google.co.id/?q=-6.12474,106.95894;;;
Kel. Sukapura;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Tipar Cakung Sukapura;TRUE;http://maps.google.co.id/?q=-6.14847,106.923968;;;
Kel. Rorotan;Puskesmas;Dki Jakarta;Kota Jakarta Utara;Jl. Rorotan Ix No.4;TRUE;http://maps.google.co.id/?q=-6.269947,106.809956;;;
Klinik Utama Stip;Dokter Praktik Perorangan;Dki Jakarta;Kota Jakarta Utara;Jl. Marunda Makmur;TRUE;-;;;
-;Dokter Gigi;Dki Jakarta;Kota Jakarta Utara;-;TRUE;-;;;
dr. Suarti Rusli;Klinik Utama;Dki Jakarta;Kota Jakarta Utara;Jalan Sunter Hijau VIII P2/25;TRUE;http://maps.google.co.id/?q=-6.155088,106.875129;;;
Polkes 00.09.02 Jak-Ut;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Lagoa Kanal 1A;TRUE;http://maps.google.co.id/?q=-6.11228,106.887497;;;
Polres Jakarta Utara;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Yos. Sudarsono 1;TRUE;http://maps.google.co.id/?q=-6.118864,106.893613;;;
Kepulauan Seribu;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Dermaga Marina Ancol;TRUE;http://maps.google.co.id/?q=-6.121769,106.829671;;;
Dit Pol Air Baharkam Polri;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. R.E. Martadinata I/I Priok;TRUE;http://maps.google.co.id/?q=-6.118251,106.868298;;;
Polres Pelabuhan Tanjung Priok;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Pelabuhan Nusantara II/1;TRUE;http://maps.google.co.id/?q=-6.112584,106.874592;;;
Poliklinik Babek TNI;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Raya Cakung Cilincing;TRUE;http://maps.google.co.id/?q=-6.158448,106.942281;;;
Dit Polair Jakut;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;P. Pondok Dayung,Jl Padamarang;TRUE;http://maps.google.co.id/?q=-6.10255,106.880256;;;
Pol Air Jakut;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Komp. Asrama Jl. Arjuna;TRUE;http://maps.google.co.id/?q=-6.106932,106.928652;;;
Pusdik Pol Air Jakut;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Pulau Pondok Dayung;TRUE;http://maps.google.co.id/?q=-6.099111,106.877059;;;
BK Cilincing;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Komplek Dewa Rucci;TRUE;http://maps.google.co.id/?q=-6.111283,106.921777;;;
BK Kelapa Gading;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Inspeksi Kali Sunter;TRUE;http://maps.google.co.id/?q=-6.160405,106.889831;;;
BP Mako Lantamal III;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Gunung Sahari No 2;TRUE;http://maps.google.co.id/?q=-6.132132,106.831808;;;
BP Pondok Dayung;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Bp Pondok Dayung Jl.Komplek Ai;TRUE;http://maps.google.co.id/?q=-6.098951,106.872983;;;
Poliklinik Marunda;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Rumdis Tni Al Marunda;TRUE;http://maps.google.co.id/?q=-6.118121,106.953181;;;
BK Kolinlamil;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Teratai No 5;TRUE;http://maps.google.co.id/?q=-6.120232,106.894858;;;
BP Mako Kolinlamil;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Pelabuhan Tanjung Priuk;TRUE;http://maps.google.co.id/?q=-6.120031,106.893914;;;
Satkes Denma Pushidrosal;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Pantai Kuta V No.1;TRUE;http://maps.google.co.id/?q=-6.122588,106.846482;;;
Klinik Pertamedika Deli;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Sunter Ii No 13 Rw Badak;TRUE;http://maps.google.co.id/?q=-6.110327,106.899313;;;
Klinik Anggrek;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl.Wijaya Ruko Telukmas No 20;TRUE;http://maps.google.co.id/?q=-6.138232,106.780002;;;
Klinik Pratama TPK Koja;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Timor I No 1 Komp Tpk Koja;TRUE;http://maps.google.co.id/?q=-6.142391,106.936094;;;
Klinik Mitrasana Boulevard Tmr;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Raya Timur Boulevard Blok N;TRUE;http://maps.google.co.id/?q=-6.162207,106.90909;;;
Klinik Pertamedika Yos Sudarso;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Yos Sudarso Nomor 34;TRUE;http://maps.google.co.id/?q=-6.12267,106.89269;;;
Klinik Global Medika;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Walang Baru Raya Blok T.;TRUE;http://maps.google.co.id/?q=-6.122877,106.905779;;;
Klinik Griya Kasih Indah;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Gading Indah Iii Nf1/20;TRUE;http://maps.google.co.id/?q=-6.160804,106.912673;;;
Klinik Armada Medika 4;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Raya Kapuk Kamal No 15 R;TRUE;http://maps.google.co.id/?q=-6.130581,106.747779;;;
Klinik Ancol Medical Centre;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Parangtritis Raya No 3 D;TRUE;http://maps.google.co.id/?q=-6.130079,106.821796;;;
Klinik Anggrek Sunter;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Sunter Kemayoran No 17 D;TRUE;http://maps.google.co.id/?q=-6.156015,106.865069;;;
Klinik Anugerah Sehat;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Gading Nias Residences Lt GF;TRUE;http://maps.google.co.id/?q=-6.151009,106.916471;;;
Klinik Karnaeny;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Kelapa Dua No 28;TRUE;http://maps.google.co.id/?q=-6.10324,106.931801;;;
Klinik Melania;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Pademangan Ii Gang 8;TRUE;http://maps.google.co.id/?q=-6.140386,106.841722;;;
Klinik Pratama Yakri;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Prapatan Semper No. 31;TRUE;http://maps.google.co.id/?q=-6.128646,106.918091;;;
Klinik Santo Yosef;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jln Ganggeng Vi No 9;TRUE;http://maps.google.co.id/?q=-6.116922,106.881973;;;
Satpelkes Walikota Jak-Ut;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Yos Sudarso No 27-29;TRUE;http://maps.google.co.id/?q=-6.119744,106.892286;;;
Satpelkes KUMKMP DKI Jakarta;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Perintis Kemerdekaan 1 No 3;TRUE;http://maps.google.co.id/?q=-6.166404,106.889182;;;
Satpelkes Diklat JIC;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Kramat Raya;TRUE;http://maps.google.co.id/?q=-6.120512,106.917794;;;
Klinik Kaifa;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Bangun Cipta Sarana No.75;TRUE;http://maps.google.co.id/?q=-6.176739,106.907169;;;
Klinik Atma Jaya Penjaringan;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Komplek Rusunawa, Tnjung Wangi;TRUE;http://maps.google.co.id/?q=-6.122348,106.793979;;;
Klinik Dania;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Rorotan III No 24;TRUE;http://maps.google.co.id/?q=-6.157512,106.953284;;;
Klinik Wahana Sejahtera;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Komplek Gading Griya F1/23;TRUE;http://maps.google.co.id/?q=-6.141418,106.919354;;;
Klinik Pelabuhan Jakarta;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Komp. Yuka No 5;TRUE;http://maps.google.co.id/?q=-6.12605,106.913555;;;
Klinik Pelabuhan Tanjung Priok;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Raya Pelabuhan No 9;TRUE;http://maps.google.co.id/?q=-6.107154,106.883178;;;
Gerai Sehat Rorotan;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Kampung Malaka I No. 25;TRUE;http://maps.google.co.id/?q=-6.127232,106.954041;;;
Klinik Kimia Farma Kbon Bawang;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Bugis No.25;TRUE;http://maps.google.co.id/?q=-6.114557,106.886319;;;
Klinik P Sisma Medikal Warakas;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Warakas Raya No 4B;TRUE;-;;;
Klinik Sejahtera;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Gusti Permata 5 No. 1A;TRUE;-;;;
Klinik Bina Kasih;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Pegangsaan Dua Km3.5;TRUE;-;;;
Klinik Mitracare;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Budi Mulia Raya No.8K;TRUE;-;;;
Medipro Clinic;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Rukan Artha Gading Niaga B No.15A;TRUE;-;;;
Klinik Advanced Medical Center;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Pluit Karang Timur No. 81-83;TRUE;http://maps.google.co.id/?q=-6.119876,106.782961;;;
Klinik Oilia I Swasembada;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Swasembada Barat Xii No. 2E;TRUE;http://maps.google.co.id/?q=-6.122224,106.886928;;;
Klinik Oilia II Rorotan;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Malaka Hb No. 1B;TRUE;http://maps.google.co.id/?q=-6.137109,106.810046;;;
Klinik Indosehat 2003 Clincing;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Cilincing Raya No. 74;TRUE;http://maps.google.co.id/?q=-6.105091,106.932418;;;
Klinik Indosehat 2003 Warakas;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Warakas Vii Gg.8 No.72;TRUE;http://maps.google.co.id/?q=-6.121836,106.878377;;;
Klinik Alam Medika 2 (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Pluit Selatan Raya Blok A6;TRUE;http://maps.google.co.id/?q=-6.124538,106.803333;;;
Klinik Armada Medika 02 (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Kapuk Raya Blok F8/15A;TRUE;http://maps.google.co.id/?q=-6.140121,106.767197;;;
Klinik P Sisma Medikal Sunter;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Sunter Kemayoran No 4;TRUE;http://maps.google.co.id/?q=-6.159125,106.87055;;;
Klinik Lestari I (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Manggar Blok Y No 141;TRUE;http://maps.google.co.id/?q=-6.117701,106.910029;;;
Klinik Permata Medika (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl Plumpang Semper Raya No 22;TRUE;http://maps.google.co.id/?q=-6.129352,106.917626;;;
Klinik Wijaya Medika (JST);Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Tipar Cakung No 33;TRUE;http://maps.google.co.id/?q=-6.13833,106.921859;;;
Kbn Cakung (Jst);Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Cakung Cilincing Km 45;TRUE;http://maps.google.co.id/?q=-6.122631,106.926182;;;
Klinik P Sisma Medika Semper;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Kesemek No 5-7;TRUE;http://maps.google.co.id/?q=-6.123714,106.926602;;;
Klinik Dwiayu;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Rorotan;TRUE;http://maps.google.co.id/?q=-6.16219,106.94997;;;
Klinik Wahana Sejahtera II;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Kebon Bawang Vi No. 53;TRUE;http://maps.google.co.id/?q=-6.114516,106.891316;;;
Klinik Oilia 3 Enggano;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jl. Enggano Raya Blok C No 11;TRUE;http://maps.google.co.id/?q=-6.109625,106.884836;;;
Klinik Syifa Medical Center;Klinik Pratama;Dki Jakarta;Kota Jakarta Utara;Jalan Lontar Luar No 07;TRUE;http://maps.google.co.id/?q=-6.119245,106.91211;;;
Apotek Riffan Farma;Apotek;Dki Jakarta;Kota Jakarta Utara;Raya Cilincing No. 74;TRUE;http://maps.google.co.id/?q=-6.103308,106.932402;;;
IF Royal Progress;Apotek;Dki Jakarta;Kota Jakarta Utara;Danau Sunter Utara;TRUE;-;;;
Instalasi Farmasi Rs Firdaus;Apotek;Dki Jakarta;Kota Jakarta Utara;Komp. Bea Cukai Jl. Siak J5/14;TRUE;http://maps.google.co.id/?q=-6.155672,106.923164;;;
Instalasi Farmasi Rs Atmajaya;Apotek;Dki Jakarta;Kota Jakarta Utara;Jl. Raya Pluit No.2;TRUE;http://maps.google.co.id/?q=-6.12616,106.793164;;;
Instalasi Farmasi Rs Mulyasari;Apotek;Dki Jakarta;Kota Jakarta Utara;Jl. RAYA PLUMPANG NO.19;TRUE;http://maps.google.co.id/?q=-6.128874,106.906403;;;
